ds,y
1970-01-31,12
1970-02-28,15
1970-03-31,13
1970-04-30,18
1970-05-31,14
1970-06-30,16
1970-07-31,16
1970-08-31,13
1970-09-30,11
1970-10-31,11
1970-11-30,9
1970-12-31,12
1971-01-31,13
1971-02-28,8
1971-03-31,10
1971-04-30,9
1971-05-31,16
1971-06-30,7
1971-07-31,25
1971-08-31,14
1971-09-30,17
1971-10-31,16
1971-11-30,7
1971-12-31,10
1972-01-31,19
1972-02-29,7
1972-03-31,11
1972-04-30,14
1972-05-31,11
1972-06-30,6
1972-07-31,7
1972-08-31,14
1972-09-30,22
1972-10-31,8
1972-11-30,8
1972-12-31,16
1973-01-31,8
1973-02-28,7
1973-03-31,9
1973-04-30,10
1973-05-31,1
1973-06-30,8
1973-07-31,9
1973-08-31,13
1973-09-30,9
1973-10-31,8
1973-11-30,6
1973-12-31,10
1974-01-31,9
1974-02-28,8
1974-03-31,7
1974-04-30,2
1974-05-31,12
1974-06-30,8
1974-07-31,7
1974-08-31,8
1974-09-30,5
1974-10-31,14
1974-11-30,10
1974-12-31,7
1975-01-31,7
1975-02-28,5
1975-03-31,10
1975-04-30,10
1975-05-31,8
1975-06-30,9
1975-07-31,13
1975-08-31,6
1975-09-30,7
1975-10-31,19
1975-11-30,7
1975-12-31,8
1976-01-31,15
1976-02-29,9
1976-03-31,6
1976-04-30,8
1976-05-31,13
1976-06-30,11
1976-07-31,13
1976-08-31,9
1976-09-30,4
1976-10-31,3
1976-11-30,16
1976-12-31,2
1977-01-31,7
1977-02-28,7
1977-03-31,9
1977-04-30,11
1977-05-31,1
1977-06-30,4
1977-07-31,6
1977-08-31,13
1977-09-30,9
1977-10-31,5
1977-11-30,8
1977-12-31,6
1978-01-31,7
1978-02-28,7
1978-03-31,18
1978-04-30,7
1978-05-31,5
1978-06-30,11
1978-07-31,5
1978-08-31,7
1978-09-30,8
1978-10-31,0
1978-11-30,8
1978-12-31,10
1979-01-31,8
1979-02-28,8
1979-03-31,8
1979-04-30,6
1979-05-31,9
1979-06-30,7
1979-07-31,5
1979-08-31,10
1979-09-30,3
1979-10-31,11
1979-11-30,12
1979-12-31,7
1980-01-31,4
1980-02-29,9
1980-03-31,8
1980-04-30,5
1980-05-31,13
1980-06-30,12
1980-07-31,12
1980-08-31,4
1980-09-30,4
1980-10-31,14
1980-11-30,6
1980-12-31,7
1981-01-31,13
1981-02-28,6
1981-03-31,5
1981-04-30,6
1981-05-31,6
1981-06-30,7
1981-07-31,6
1981-08-31,1
1981-09-30,12
1981-10-31,10
1981-11-30,11
1981-12-31,7
1982-01-31,17
1982-02-28,2
1982-03-31,9
1982-04-30,5
1982-05-31,4
1982-06-30,9
1982-07-31,8
1982-08-31,6
1982-09-30,11
1982-10-31,2
1982-11-30,5
1982-12-31,12
1983-01-31,13
1983-02-28,9
1983-03-31,10
1983-04-30,11
1983-05-31,11
1983-06-30,12
1983-07-31,10
1983-08-31,8
1983-09-30,9
1983-10-31,19
1983-11-30,15
1983-12-31,15
1984-01-31,9
1984-02-29,9
1984-03-31,13
1984-04-30,13
1984-05-31,12
1984-06-30,11
1984-07-31,7
1984-08-31,8
1984-09-30,15
1984-10-31,13
1984-11-30,16
1984-12-31,16
1985-01-31,10
1985-02-28,4
1985-03-31,23
1985-04-30,16
1985-05-31,14
1985-06-30,12
1985-07-31,15
1985-08-31,13
1985-09-30,12
1985-10-31,13
1985-11-30,14
1985-12-31,16
1986-01-31,7
1986-02-28,4
1986-03-31,12
1986-04-30,9
1986-05-31,16
1986-06-30,18
1986-07-31,15
1986-08-31,13
1986-09-30,11
1986-10-31,15
1986-11-30,8
1986-12-31,13
1987-01-31,13
1987-02-28,19
1987-03-31,20
1987-04-30,14
1987-05-31,15
1987-06-30,16
1987-07-31,9
1987-08-31,9
1987-09-30,17
1987-10-31,14
1987-11-30,20
1987-12-31,10
1988-01-31,10
1988-02-29,14
1988-03-31,11
1988-04-30,9
1988-05-31,14
1988-06-30,8
1988-07-31,14
1988-08-31,15
1988-09-30,4
1988-10-31,5
1988-11-30,16
1988-12-31,6
1989-01-31,10
1989-02-28,11
1989-03-31,7
1989-04-30,16
1989-05-31,16
1989-06-30,5
1989-07-31,7
1989-08-31,15
1989-09-30,12
1989-10-31,15
1989-11-30,11
1989-12-31,15
1990-01-31,10
1990-02-28,11
1990-03-31,14
1990-04-30,20
1990-05-31,23
1990-06-30,12
1990-07-31,11
1990-08-31,14
1990-09-30,13
1990-10-31,6
1990-11-30,8
1990-12-31,13
1991-01-31,13
1991-02-28,11
1991-03-31,9
1991-04-30,16
1991-05-31,12
1991-06-30,9
1991-07-31,8
1991-08-31,9
1991-09-30,7
1991-10-31,12
1991-11-30,14
1991-12-31,17
1992-01-31,3
1992-02-29,12
1992-03-31,16
1992-04-30,17
1992-05-31,22
1992-06-30,15
1992-07-31,14
1992-08-31,20
1992-09-30,15
1992-10-31,22
1992-11-30,11
1992-12-31,12
1993-01-31,9
1993-02-28,3
1993-03-31,16
1993-04-30,9
1993-05-31,16
1993-06-30,14
1993-07-31,11
1993-08-31,17
1993-09-30,22
1993-10-31,15
1993-11-30,9
1993-12-31,8
1994-01-31,11
1994-02-28,19
1994-03-31,8
1994-04-30,12
1994-05-31,16
1994-06-30,17
1994-07-31,8
1994-08-31,13
1994-09-30,12
1994-10-31,24
1994-11-30,7
1994-12-31,12
1995-01-31,15
1995-02-28,18
1995-03-31,9
1995-04-30,24
1995-05-31,22
1995-06-30,10
1995-07-31,14
1995-08-31,24
1995-09-30,11
1995-10-31,26
1995-11-30,12
1995-12-31,17
1996-01-31,9
1996-02-29,24
1996-03-31,17
1996-04-30,4
1996-05-31,10
1996-06-30,19
1996-07-31,12
1996-08-31,13
1996-09-30,14
1996-10-31,14
1996-11-30,18
1996-12-31,10
1997-01-31,6
1997-02-28,9
1997-03-31,8
1997-04-30,17
1997-05-31,18
1997-06-30,7
1997-07-31,13
1997-08-31,11
1997-09-30,11
1997-10-31,11
1997-11-30,12
1997-12-31,13
1998-01-31,15
1998-02-28,5
1998-03-31,9
1998-04-30,9
1998-05-31,14
1998-06-30,8
1998-07-31,14
1998-08-31,12
1998-09-30,11
1998-10-31,7
1998-11-30,10
1998-12-31,7
1999-01-31,10
1999-02-28,8
1999-03-31,8
1999-04-30,12
1999-05-31,12
1999-06-30,5
1999-07-31,10
1999-08-31,11
1999-09-30,17
1999-10-31,7
1999-11-30,16
1999-12-31,20
2000-01-31,15
2000-02-29,8
2000-03-31,6
2000-04-30,6
2000-05-31,10
2000-06-30,25
2000-07-31,12
2000-08-31,15
2000-09-30,10
2000-10-31,16
2000-11-30,23
2000-12-31,14
2001-01-31,16
2001-02-28,16
2001-03-31,8
2001-04-30,11
2001-05-31,9
2001-06-30,14
2001-07-31,11
2001-08-31,7
2001-09-30,9
2001-10-31,12
2001-11-30,12
2001-12-31,12
2002-01-31,16
2002-02-28,6
2002-03-31,11
2002-04-30,9
2002-05-31,7
2002-06-30,14
2002-07-31,4
2002-08-31,13
2002-09-30,15
2002-10-31,24
2002-11-30,11
2002-12-31,9
2003-01-31,10
2003-02-28,5
2003-03-31,16
2003-04-30,8
2003-05-31,19
2003-06-30,11
2003-07-31,16
2003-08-31,11
2003-09-30,17
2003-10-31,11
2003-11-30,14
2003-12-31,18
2004-01-31,14
2004-02-29,11
2004-03-31,10
2004-04-30,19
2004-05-31,7
2004-06-30,8
2004-07-31,11
2004-08-31,4
2004-09-30,14
2004-10-31,13
2004-11-30,23
2004-12-31,24
2005-01-31,23
2005-02-28,16
2005-03-31,16
2005-04-30,16
2005-05-31,11
2005-06-30,11
2005-07-31,8
2005-08-31,13
2005-09-30,8
2005-10-31,6
2005-11-30,9
2005-12-31,14
2006-01-31,9
2006-02-28,10
2006-03-31,12
2006-04-30,18
2006-05-31,15
2006-06-30,13
2006-07-31,10
2006-08-31,8
2006-09-30,12
2006-10-31,15
2006-11-30,20
2006-12-31,11
2007-01-31,15
2007-02-28,9
2007-03-31,14
2007-04-30,32
2007-05-31,10
2007-06-30,7
2007-07-31,16
2007-08-31,20
2007-09-30,27
2007-10-31,14
2007-11-30,18
2007-12-31,14
2008-01-31,14
2008-02-29,20
2008-03-31,15
2008-04-30,21
2008-05-31,14
2008-06-30,15
2008-07-31,14
2008-08-31,16
2008-09-30,12
2008-10-31,14
2008-11-30,15
2008-12-31,10
2009-01-31,14
2009-02-28,12
2009-03-31,6
2009-04-30,11
2009-05-31,6
2009-06-30,8
2009-07-31,10
2009-08-31,19
2009-09-30,15
2009-10-31,34
2009-11-30,14
2009-12-31,12
2010-01-31,11
2010-02-28,24
2010-03-31,23
2010-04-30,17
2010-05-31,16
2010-06-30,12
2010-07-31,18
2010-08-31,17
2010-09-30,10
2010-10-31,8
2010-11-30,6
2010-12-31,13
2011-01-31,14
2011-02-28,13
2011-03-31,73
2011-04-30,14
2011-05-31,5
2011-06-30,11
2011-07-31,19
2011-08-31,13
2011-09-30,15
2011-10-31,10
2011-11-30,12
2011-12-31,8
2012-01-31,10
2012-02-29,9
2012-03-31,13
2012-04-30,19
2012-05-31,9
2012-06-30,11
2012-07-31,8
2012-08-31,13
2012-09-30,8
2012-10-31,10
2012-11-30,12
2012-12-31,11
2013-01-31,7
2013-02-28,23
2013-03-31,5
2013-04-30,16
2013-05-31,13
2013-06-30,8
2013-07-31,11
2013-08-31,11
2013-09-30,16
2013-10-31,16
2013-11-30,12
2013-12-31,4
2014-01-31,6
2014-02-28,8
2014-03-31,17
2014-04-30,26
2014-05-31,18
2014-06-30,16
2014-07-31,17
2014-08-31,9
2014-09-30,8
2014-10-31,8
2014-11-30,12
2014-12-31,10
2015-01-31,4
2015-02-28,12
2015-03-31,12
2015-04-30,15
2015-05-31,21
2015-06-30,10
2015-07-31,10
2015-08-31,6
2015-09-30,24
2015-10-31,7
2015-11-30,16
2015-12-31,9
2016-01-31,13
2016-02-29,10
2016-03-31,5
2016-04-30,22
2016-05-31,7
2016-06-30,15
2016-07-31,7
2016-08-31,13
2016-09-30,13
2016-10-31,8
2016-11-30,13
2016-12-31,20
